,BTCUSDT_open,BTCUSDT_high,BTCUSDT_low,BTCUSDT_close,EMA10gtEMA30,ClGtEMA10,MACD,RSI,%K,%R,PROC,return,class
953,55851.59,58150.0,54272.82,57773.16,1,1,-677.7948402772358,70.96187863549943,97.5126072607261,-2.487392739273904,0.1818854306884716,-0.009544916705265916,0
954,57773.15,58081.51,54962.84,57221.72,1,1,-694.9672774910789,68.82485235765833,92.9672933837495,-7.032706616250492,0.12261635121415296,0.06932105501197783,1
955,57221.72,61844.0,56078.23,61188.39,1,1,-906.4528129947073,74.72197749600113,95.78223108594956,-4.217768914050441,0.16827095740214307,-0.03628270003508838,0
956,61188.38,61724.79,58966.78,58968.31,1,1,-831.7536918604224,67.07452691543257,81.49967833247554,-18.50032166752446,0.0744073463363973,0.0,0
957,61188.38,61724.79,58966.78,58968.31,1,1,-721.3800078060408,67.07452691543257,81.49967833247554,-18.50032166752446,0.0744073463363973,-0.05703249762457163,0
958,58976.08,60633.43,54600.0,55605.2,1,-1,-378.1621754266753,56.85204744979857,59.86361296963457,-40.13638703036543,-0.004411512725062965,0.023299079942163736,1
959,55605.2,56938.29,53271.34,56900.75,1,1,-203.43707736053102,59.41789577386375,68.19834019557385,-31.801659804426144,-0.015100610733427139,0.03536368149804714,1
960,56900.74,58974.73,54123.69,58912.97,1,1,-188.75187015319034,63.089275639516465,80.16089075402735,-19.839109245972647,0.029556084647577877,-0.021469126407987926,0
961,58912.97,60129.97,57023.0,57648.16,1,1,-65.5837863231327,59.448687551031185,67.62918730423247,-32.370812695767526,-0.05785787140338218,0.0066238020432916045,1
962,57641.0,59468.0,56270.74,58030.01,1,1,14.186072844746377,60.19548112001298,69.65637786580511,-30.343622134194877,-0.015911936428227223,0.0,0
963,57641.0,59468.0,56270.74,58030.01,1,1,86.90953972590796,60.19548112001298,62.0671752900914,-37.9328247099086,-0.015911936428227223,0.0012453901007425383,1
964,58030.01,59880.0,57820.17,58102.28,1,1,146.59399314419716,60.35573577117639,62.785951490811634,-37.214048509188366,0.04490731082704499,-0.012920663354346829,0
965,58100.02,58589.1,55450.11,57351.56,1,-1,247.16426964154243,57.75456310389051,49.174793528679686,-50.825206471320314,0.007922742670351405,-0.05698729031956584,0
966,57351.56,58430.73,53650.0,54083.25,1,-1,528.192302760347,48.04631888778651,9.470922677442044,-90.52907732255795,-0.08198058933372399,0.004763766970365069,1
967,54083.25,55830.9,53000.0,54340.89,1,-1,681.3740589706745,48.77727582591885,15.161578471279958,-84.83842152872003,-0.0573699143216367,-0.03749000062383956,0
968,54342.8,57200.0,51700.0,52303.65,1,-1,891.2950958610297,43.55857157835421,5.950808359621465,-94.04919164037854,-0.09867928680350047,0.0,0
969,54342.8,57200.0,51700.0,52303.65,1,-1,993.7314677774082,43.55857157835422,6.0215725217186735,-93.97842747828133,-0.09867928680350047,-0.019307830333064713,0
970,52303.66,53287.0,50427.56,51293.78,1,-1,1085.6112792614351,41.03458066876795,7.667543282733917,-92.33245671726608,-0.11718128789438212,0.07275365551144786,1
971,51293.78,55073.46,51214.6,55025.59,1,1,860.9806837658678,52.08387583331902,45.05279804661433,-54.94720195338567,-0.040556351039099915,0.014385125175395697,1
972,55025.59,56700.36,53950.0,55817.14,1,1,635.4211790811262,54.05067420382311,55.5488790929264,-44.45112090707361,0.0320596487822015,-0.0007078470878300047,0
973,55817.14,56559.75,54691.84,55777.63,1,1,472.6917083602415,53.93167735916551,55.1416606801815,-44.8583393198185,0.026439390300747705,0.03330797669244823,1
974,55777.65,58405.82,54800.01,57635.47,1,1,235.71162899725266,58.55249362256048,74.28989292351076,-25.710107076489233,0.10193973078360687,0.0,0
975,55777.65,58405.82,54800.01,57635.47,1,1,82.64136802691348,58.55249362256048,76.25449090393593,-23.745509096064065,0.10193973078360687,0.01927805915350378,1
976,57635.46,59368.0,57071.35,58746.57,1,1,-80.90781102371739,61.24848902013271,88.00912780192205,-11.990872198077957,0.14529617431197314,-0.00010247406784769097,0
977,58746.57,59800.0,56769.0,58740.55,1,1,-170.97506082736118,61.22525205810992,87.94544054233619,-12.054559457663807,0.06751331516845174,-0.00034235294017503914,0
978,58739.46,59490.0,57935.45,58720.44,1,1,-208.97490926525825,61.14180280160809,88.48154802804822,-11.51845197195178,0.05201448873948043,0.0039095415497567565,1
979,58720.45,60200.0,58428.57,58950.01,1,1,-227.80560260589846,61.782194049526765,87.2090286560982,-12.790971343901806,0.056875489331475806,-0.03219795891468047,0
980,58950.01,59791.72,56880.0,57051.94,1,-1,-97.33407554498399,53.87643831749975,67.78634609166188,-32.21365390833811,-0.010124494517004872,0.0,0
981,58950.01,59791.72,56880.0,57051.94,1,-1,-1.0308913591211422,53.87643831749975,67.78634609166188,-32.21365390833811,-0.010124494517004872,0.020158297859809826,1
